"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"T1","T1_canNameThread","CATG","75.00","NC","1","run-05-30sec","508"
"T1","T1_canStartEnoughThreads","CATG","","T/M","","run-05-30sec","30202"
"T2","T2_createsLock","CATG","","N/A","","run-05-30sec",""
"T2","T2_signalAwait","CATG","90.91","NC","1","run-05-30sec","620"
"T3","T3_deadlock","CATG","","T/M","","run-05-30sec","30202"
"T3","T3_livelock","CATG","","T/M","","run-05-30sec","30202"
"T3","T3_raceCondition","CATG","","T/M","","run-05-30sec","30202"
"T3","T3_starvation","CATG","","T/M","","run-05-30sec","30202"
"R1a","R1a_guessClassByAnnotation","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassByField","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassByInterface","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassByMethodWithParams","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassByMethodWithoutParams","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassByName","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassBySimpleName","CATG","","N/A","","run-05-30sec",""
"R1a","R1a_guessClassBySuperclass","CATG","","N/A","","run-05-30sec",""
"R1b","R1b_guessClassByAnnotation","CATG","33.33","NC","1","run-05-30sec","518"
"R1b","R1b_guessClassByField","CATG","42.86","NC","1","run-05-30sec","496"
"R1b","R1b_guessClassByInterface","CATG","42.86","NC","1","run-05-30sec","492"
"R1b","R1b_guessClassByMethodWithParams","CATG","42.86","NC","1","run-05-30sec","494"
"R1b","R1b_guessClassByMethodWithoutParams","CATG","42.86","NC","1","run-05-30sec","491"
"R1b","R1b_guessClassByName","CATG","27.27","NC","1","run-05-30sec","492"
"R1b","R1b_guessClassBySimpleName","CATG","30.00","NC","1","run-05-30sec","499"
"R1b","R1b_guessClassBySuperclass","CATG","50.00","NC","1","run-05-30sec","498"
"R2a","R2a_guessMethodByAnnotation","CATG","","N/A","","run-05-30sec",""
"R2a","R2a_guessMethodByNameAndDeclaringClass","CATG","","N/A","","run-05-30sec",""
"R2a","R2a_guessMethodByNameAndParameter","CATG","","N/A","","run-05-30sec",""
"R2a","R2a_guessMethodByNameAndReturnType","CATG","","N/A","","run-05-30sec",""
"R2b","R2b_guessMethodByAnnotation","CATG","33.33","NC","1","run-05-30sec","503"
"R2b","R2b_guessMethodByNameAndDeclaringClass","CATG","50.00","NC","1","run-05-30sec","496"
"R2b","R2b_guessMethodByNameAndParameter","CATG","42.86","NC","1","run-05-30sec","494"
"R2b","R2b_guessMethodByNameAndReturnType","CATG","50.00","NC","1","run-05-30sec","504"
"R3","R3_guessObjectWithClass","CATG","","N/A","","run-05-30sec",""
"R3","R3_guessObjectWithInstanceOfClass","CATG","","N/A","","run-05-30sec",""
