"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"LO","LO_guessValidUUID","CATG","50.00","NC","1","run-01-15sec","489"
"LO","LO_inheritsAPIGuessOneObject","CATG","","N/A","","run-01-15sec",""
"LO","LO_inheritsAPIGuessOnePrimitive","CATG","","EX","","run-01-15sec","2238"
"LO","LO_inheritsAPIGuessTwoObjects","CATG","","N/A","","run-01-15sec",""
"LO","LO_inheritsAPIGuessTwoPrimitives","CATG","","EX","","run-01-15sec","4034"
"LO","LO_regexCaseInsensitive","CATG","71.43","NC","1","run-01-15sec","498"
"LO","LO_regexCaseSensitive","CATG","60.00","NC","1","run-01-15sec","492"
"B2d","B2d_oneParamDouble","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_oneParamFloat","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_oneParamInt","CATG","100.00","C","2","run-02-15sec","1080"
"B2d","B2d_oneParamIntNoSolution","CATG","66.67","C","1","run-02-15sec","569"
"B2d","B2d_quadraticDouble","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_quadraticDoubleNoSolution","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_quadraticFloat","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_quadraticFloatNoSolution","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_quadraticInt","CATG","80.00","NC","1","run-02-15sec","588"
"B2d","B2d_quadraticIntNoSolution","CATG","80.00","C","2","run-02-15sec","1149"
"B2d","B2d_threeParamsDouble","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_threeParamsFloat","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_threeParamsInt","CATG","100.00","C","4","run-02-15sec","2275"
"B2d","B2d_threeParamsIntNoSolution","CATG","83.33","C","3","run-02-15sec","1750"
"B2d","B2d_twoParamsDouble","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_twoParamsFloat","CATG","","N/A","","run-02-15sec",""
"B2d","B2d_twoParamsInt","CATG","100.00","C","3","run-02-15sec","1684"
"B2d","B2d_twoParamsIntNoSolution","CATG","80.00","C","2","run-02-15sec","1071"
"B3a","B3a_complex","CATG","","T/M","","run-02-15sec","15203"
"B3a","B3a_infinite","CATG","","T/M","","run-02-15sec","15202"
"B3a","B3a_infiniteNotOptimalizable","CATG","","T/M","","run-02-15sec","15203"
"B3a","B3a_nestedLoop","CATG","","T/M","","run-02-15sec","15202"
"B3a","B3a_nestedLoopWithLabel","CATG","","T/M","","run-02-15sec","15203"
"B3a","B3a_withConditionAndLimit","CATG","100.00","C","12","run-02-15sec","7247"
"B3a","B3a_withConditionNoLimit","CATG","","T/M","","run-02-15sec","15203"
"B3a","B3a_withContinueBreak","CATG","","T/M","","run-02-15sec","15203"
"B3a","B3a_withLimit","CATG","100.00","C","12","run-02-15sec","6820"
"O1","O1_fullCoverage","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessImpossibleObject","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessImpossibleOperationCount","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessImpossibleOperationCountParams","CATG","","T/M","","run-02-15sec","15202"
"O1","O1_guessImpossibleResult","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessImpossibleResultAndOperationCount","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessImpossibleResultAndOperationCountParams","CATG","","T/M","","run-02-15sec","15203"
"O1","O1_guessImpossibleResultParams","CATG","","T/M","","run-02-15sec","15202"
"O1","O1_guessObject","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessOperationCount","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessOperationCountParams","CATG","","T/M","","run-02-15sec","15202"
"O1","O1_guessResult","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessResultAndOperationCount","CATG","","N/A","","run-02-15sec",""
"O1","O1_guessResultAndOperationCountParams","CATG","","T/M","","run-02-15sec","15203"
"O1","O1_guessResultParams","CATG","100.00","C","16","run-02-15sec","9647"
"O1","O1_oneOperationNoCheck","CATG","","N/A","","run-02-15sec",""
"O1","O1_oneOperationParams","CATG","100.00","C","2","run-02-15sec","1107"
"O1","O1_oneOperationWithCheck","CATG","","N/A","","run-02-15sec",""
"O1","O1_twoOperationsParams","CATG","100.00","C","4","run-02-15sec","2278"
"O1","O1_twoOperationsWithCheck","CATG","","N/A","","run-02-15sec",""
"O1","O1_twoOperationsWithNocheck","CATG","","N/A","","run-02-15sec",""
"O2","O2_guessResult","CATG","","N/A","","run-02-15sec",""
"O2","O2_guessResultParams","CATG","100.00","C","16","run-02-15sec","9413"
"O3a","O3a_guessResult","CATG","","N/A","","run-02-15sec",""
"O3a","O3a_guessResultParams","CATG","100.00","C","16","run-02-15sec","9349"
"O3b","O3b_guess","CATG","","N/A","","run-02-15sec",""
"O3b","O3b_guessImpossible","CATG","","N/A","","run-02-15sec",""
"O3b","O3b_validate","CATG","","N/A","","run-02-15sec",""
"O3c","O3c_guess","CATG","","N/A","","run-02-15sec",""
"O3c","O3c_guessImpossible","CATG","","N/A","","run-02-15sec",""
"O3c","O3c_validate","CATG","","N/A","","run-02-15sec",""
"O4","O4_guessImpossible","CATG","","N/A","","run-02-15sec",""
"O4","O4_guessImpossibleParams","CATG","","T/M","","run-02-15sec","15202"
"O4","O4_guessResult","CATG","","N/A","","run-02-15sec",""
"O4","O4_guessResultParams","CATG","","T/M","","run-02-15sec","15202"
"G1","G1_guessType","CATG","","N/A","","run-02-15sec",""
"G1","G1_guessTypeAndUse","CATG","","N/A","","run-02-15sec",""
"G1","G1_guessTypeWithExtends","CATG","","N/A","","run-02-15sec",""
"G1","G1_guessTypeWithExtendsAndUse","CATG","","N/A","","run-02-15sec",""
"G2","G2_guessDescendant","CATG","","N/A","","run-02-15sec",""
"G2","G2_guessImpossible","CATG","","N/A","","run-02-15sec",""
"G2","G2_guessInteger","CATG","","N/A","","run-02-15sec",""
"G2","G2_guessIntegerNoHelp","CATG","","N/A","","run-02-15sec",""
"G2","G2_guessSafe","CATG","","N/A","","run-02-15sec",""
"G2","G2_guessSafeNoHelp","CATG","","N/A","","run-02-15sec",""
"L1","L1_abs","CATG","66.67","NC","1","run-02-15sec","517"
"L1","L1_absImpossible","CATG","66.67","C","1","run-02-15sec","512"
"L1","L1_cbrt","CATG","","N/A","","run-02-15sec",""
"L1","L1_cos","CATG","","N/A","","run-02-15sec",""
"L1","L1_cosImpossible","CATG","","N/A","","run-02-15sec",""
"L1","L1_log10GuessArgument","CATG","","N/A","","run-02-15sec",""
"L1","L1_logGuessArgument","CATG","","N/A","","run-02-15sec",""
"L1","L1_logGuessBase","CATG","","N/A","","run-02-15sec",""
"L1","L1_logGuessBaseAndArgument","CATG","","N/A","","run-02-15sec",""
"L1","L1_minMax","CATG","66.67","NC","1","run-02-15sec","525"
"L1","L1_minMaxImpossible","CATG","66.67","C","1","run-02-15sec","504"
"L1","L1_minMaxWithOrder","CATG","66.67","NC","1","run-02-15sec","512"
"L1","L1_powGuessBase","CATG","","N/A","","run-02-15sec",""
"L1","L1_powGuessBaseAndExponent","CATG","","N/A","","run-02-15sec",""
"L1","L1_powGuessExponent","CATG","","N/A","","run-02-15sec",""
"L1","L1_sin","CATG","","N/A","","run-02-15sec",""
"L1","L1_sinImpossible","CATG","","N/A","","run-02-15sec",""
"L1","L1_sqrt","CATG","","N/A","","run-02-15sec",""
"L1","L1_sqrtImpossible","CATG","","N/A","","run-02-15sec",""
"L1","L1_tan","CATG","","N/A","","run-02-15sec",""
"L2","L2_add","CATG","57.14","NC","1","run-02-15sec","488"
"L2","L2_addWithCondition","CATG","53.85","NC","1","run-02-15sec","504"
"L2","L2_charAt","CATG","","EX","","run-02-15sec","491"
"L2","L2_compareTo","CATG","55.56","NC","1","run-02-15sec","500"
"L2","L2_compareToIgnoreCase","CATG","55.56","NC","1","run-02-15sec","491"
"L2","L2_equality","CATG","77.78","NC","3","run-02-15sec","1609"
"L2","L2_equalityIgnoreCase","CATG","55.56","NC","1","run-02-15sec","503"
"L2","L2_indexOf","CATG","50.00","NC","1","run-02-15sec","495"
"L2","L2_length","CATG","57.14","NC","1","run-02-15sec","495"
"L2","L2_regionEquality","CATG","50.00","NC","1","run-02-15sec","498"
"L2","L2_startsEnds","CATG","42.86","NC","1","run-02-15sec","499"
"L2","L2_substring","CATG","","EX","","run-02-15sec","488"
"L2","L2_switchString","CATG","","N/A","","run-02-15sec",""
"L3","L3_guessDouble","CATG","","N/A","","run-02-15sec",""
"L3","L3_guessInteger","CATG","100.00","C","3","run-02-15sec","1656"
"L3","L3_integerOverflow","CATG","100.00","C","3","run-02-15sec","1643"
"L4","L4_guessElementAndIndex","CATG","","EX","","run-02-15sec","1098"
"L4","L4_guessElements","CATG","100.00","C","3","run-02-15sec","1675"
"L4","L4_guessGenericListWithElement","CATG","","N/A","","run-02-15sec",""
"L4","L4_guessGenericListWithSize","CATG","","N/A","","run-02-15sec",""
"L4","L4_guessGenericVectorWithElement","CATG","","N/A","","run-02-15sec",""
"L4","L4_guessGenericVectorWithSize","CATG","","N/A","","run-02-15sec",""
"L4","L4_guessIndices","CATG","88.89","NC","1","run-02-15sec","505"
"L4","L4_guessListWithSize","CATG","","N/A","","run-02-15sec",""
"L4","L4_guessSize","CATG","100.00","C","2","run-02-15sec","1084"
"L4","L4_guessSizeAndElements","CATG","100.00","C","4","run-02-15sec","2278"
"L4","L4_guessVectorWithSize","CATG","","N/A","","run-02-15sec",""
"LO","LO_associatesAPIGuessDate","CATG","41.18","NC","1","run-02-15sec","507"
"LO","LO_associatesAPIGuessValidDateFormat","CATG","46.67","NC","1","run-02-15sec","516"
"LO","LO_guessUUID","CATG","33.33","NC","1","run-02-15sec","496"
"LO","LO_guessValidUUID","CATG","50.00","NC","1","run-02-15sec","495"
"LO","LO_inheritsAPIGuessOneObject","CATG","","N/A","","run-02-15sec",""
"LO","LO_inheritsAPIGuessOnePrimitive","CATG","","EX","","run-02-15sec","2252"
"LO","LO_inheritsAPIGuessTwoObjects","CATG","","N/A","","run-02-15sec",""
"LO","LO_inheritsAPIGuessTwoPrimitives","CATG","","EX","","run-02-15sec","4049"
"LO","LO_regexCaseInsensitive","CATG","71.43","NC","1","run-02-15sec","501"
"LO","LO_regexCaseSensitive","CATG","60.00","NC","1","run-02-15sec","511"
"B2d","B2d_oneParamDouble","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_oneParamFloat","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_oneParamInt","CATG","100.00","C","2","run-03-15sec","1107"
"B2d","B2d_oneParamIntNoSolution","CATG","66.67","C","1","run-03-15sec","571"
"B2d","B2d_quadraticDouble","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_quadraticDoubleNoSolution","CATG","","N/A","","run-03-15sec",""
"B2d","B2d_quadraticFloat","CATG","","N/A","","run-03-15sec",""
